FID;date;species;n;X;Y
220;19-5-2011 0:00:00;Clupea harengus;4;46689.199999999997000;427044.000000000000000
221;19-5-2011 0:00:00;Clupea harengus;5;47136.900000000001000;429357.000000000000000
222;30-5-2011 0:00:00;Clupea harengus;3;19297.200000000001000;405270.000000000000000
223;30-5-2011 0:00:00;Clupea harengus;4;19935.799999999999000;402237.000000000000000
224;30-5-2011 0:00:00;Clupea harengus;1;21746.799999999999000;412874.000000000000000
225;31-5-2011 0:00:00;Clupea harengus;4;30387.700000000001000;416671.000000000000000
226;31-5-2011 0:00:00;Clupea harengus;5;34234.800000000003000;407355.000000000000000
227;1-6-2011 0:00:00;Clupea harengus;3;25279.299999999999000;410361.000000000000000
228;1-6-2011 0:00:00;Clupea harengus;4;30251.299999999999000;417888.000000000000000
229;1-6-2011 0:00:00;Clupea harengus;2;35334.400000000001000;422756.000000000000000
230;1-6-2011 0:00:00;Clupea harengus;4;35366.199999999997000;421539.000000000000000
231;1-6-2011 0:00:00;Clupea harengus;4;36981.300000000003000;407221.000000000000000
232;1-6-2011 0:00:00;Clupea harengus;4;42320.699999999997000;424368.000000000000000
233;14-6-2011 0:00:00;Clupea harengus;1;26123.299999999999000;402108.000000000000000
234;14-6-2011 0:00:00;Clupea harengus;3;28130.000000000000000;407306.000000000000000
235;14-6-2011 0:00:00;Clupea harengus;4;36251.199999999997000;408298.000000000000000
236;14-6-2011 0:00:00;Clupea harengus;1;37364.000000000000000;427815.000000000000000
237;15-6-2011 0:00:00;Clupea harengus;2;32907.000000000000000;419826.000000000000000
238;26-4-2012 0:00:00;Clupea harengus;4;52608.099999999999000;432625.000000000000000
239;26-4-2012 0:00:00;Clupea harengus;4;54334.300000000003000;430329.000000000000000
240;26-4-2012 0:00:00;Clupea harengus;6;55107.500000000000000;428944.000000000000000
241;26-4-2012 0:00:00;Clupea harengus;18;59033.800000000003000;430664.000000000000000
242;27-4-2012 0:00:00;Clupea harengus;1;53314.199999999997000;436016.000000000000000
243;27-4-2012 0:00:00;Clupea harengus;22;56174.400000000001000;429563.000000000000000
244;27-4-2012 0:00:00;Clupea harengus;6;56952.099999999999000;433375.000000000000000
245;1-5-2012 0:00:00;Clupea harengus;1;49189.500000000000000;436905.000000000000000
246;1-5-2012 0:00:00;Clupea harengus;3;51018.300000000003000;432269.000000000000000
247;1-5-2012 0:00:00;Clupea harengus;3;53352.599999999999000;435027.000000000000000
248;1-5-2012 0:00:00;Clupea harengus;4;60998.000000000000000;435189.000000000000000
249;2-5-2012 0:00:00;Clupea harengus;2;35376.500000000000000;421568.000000000000000
250;2-5-2012 0:00:00;Clupea harengus;1;37832.699999999997000;422785.000000000000000
251;2-5-2012 0:00:00;Clupea harengus;7;42324.800000000003000;424336.000000000000000
252;2-5-2012 0:00:00;Clupea harengus;2;45662.099999999999000;423906.000000000000000
253;2-5-2012 0:00:00;Clupea harengus;2;46652.099999999999000;427019.000000000000000
254;2-5-2012 0:00:00;Clupea harengus;6;53641.300000000003000;430310.000000000000000
255;3-5-2012 0:00:00;Clupea harengus;1;27810.400000000001000;410279.000000000000000
256;3-5-2012 0:00:00;Clupea harengus;1;34263.699999999997000;407377.000000000000000
257;4-5-2012 0:00:00;Clupea harengus;4;26191.000000000000000;405818.000000000000000
258;11-5-2012 0:00:00;Clupea harengus;1;36236.099999999999000;408302.000000000000000
259;11-5-2012 0:00:00;Clupea harengus;1;36939.400000000001000;407233.000000000000000
260;15-5-2012 0:00:00;Clupea harengus;1;23280.299999999999000;414504.000000000000000
261;30-8-2012 0:00:00;Clupea harengus;7;34258.099999999999000;407377.000000000000000
262;30-8-2012 0:00:00;Clupea harengus;3;36091.699999999997000;408342.000000000000000
263;3-9-2012 0:00:00;Clupea harengus;3;16824.599999999999000;406395.000000000000000
264;3-9-2012 0:00:00;Clupea harengus;8;18538.700000000001000;406507.000000000000000
265;3-9-2012 0:00:00;Clupea harengus;3;19232.599999999999000;405214.000000000000000
266;3-9-2012 0:00:00;Clupea harengus;11;19933.799999999999000;402266.000000000000000
267;4-9-2012 0:00:00;Clupea harengus;4;21174.299999999999000;411976.000000000000000
268;4-9-2012 0:00:00;Clupea harengus;9;22749.799999999999000;414395.000000000000000
269;4-9-2012 0:00:00;Clupea harengus;4;23933.200000000001000;415304.000000000000000
270;4-9-2012 0:00:00;Clupea harengus;6;34043.000000000000000;425514.000000000000000
271;4-9-2012 0:00:00;Clupea harengus;10;45667.500000000000000;426431.000000000000000
272;4-9-2012 0:00:00;Clupea harengus;6;52708.699999999997000;432631.000000000000000
273;4-9-2012 0:00:00;Clupea harengus;3;55109.300000000003000;428928.000000000000000
274;5-9-2012 0:00:00;Clupea harengus;2;47048.400000000001000;438154.000000000000000
275;5-9-2012 0:00:00;Clupea harengus;6;49165.199999999997000;436896.000000000000000
276;5-9-2012 0:00:00;Clupea harengus;6;49616.000000000000000;438135.000000000000000
277;5-9-2012 0:00:00;Clupea harengus;6;53336.000000000000000;435023.000000000000000
278;5-9-2012 0:00:00;Clupea harengus;13;54756.000000000000000;430323.000000000000000
279;6-9-2012 0:00:00;Clupea harengus;3;52293.699999999997000;435099.000000000000000
280;6-9-2012 0:00:00;Clupea harengus;4;53367.000000000000000;429867.000000000000000
281;6-9-2012 0:00:00;Clupea harengus;5;55040.000000000000000;433400.000000000000000
282;6-9-2012 0:00:00;Clupea harengus;2;55462.300000000003000;434790.000000000000000
283;6-9-2012 0:00:00;Clupea harengus;4;56950.300000000003000;433353.000000000000000
284;6-9-2012 0:00:00;Clupea harengus;2;59061.400000000001000;430667.000000000000000
285;6-9-2012 0:00:00;Clupea harengus;3;61039.000000000000000;435322.000000000000000
286;7-9-2012 0:00:00;Clupea harengus;4;43107.099999999999000;425129.000000000000000
287;7-9-2012 0:00:00;Clupea harengus;2;52032.599999999999000;433113.000000000000000
